HHKEY,ZIP_CODE,Num_Purchases,TotalSpend,Credit Card User,Average_Spend,PC_CALC20,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,Pother,PROMOS,DaysonFile,BeteenPurchases,MARKDOWN,COUPONS,STORES,WEB,MAILED,RESPONDED,RESPONSERATE,DiversitySpend,Perc_Returns,RESP
9960000001010,8094,5,168.73,No,33.74,11,0.76,0,0,0,0,0.16,0.07,0,0,0,0,0,0,0,0.01,1,688,137.6,0.32,0,4,0,0,0,0,61.01,0,1
9960000001011,8034,12,256.41,No,21.36,11,0,0,0.01,0,0.2,0,0,0.12,0,0.05,0,0,0,0,0.62,18,518,43.16,0.13,1,1,0,8,2,25,8.49,6.04,0
9960000001012,8080,9,957.9,No,106.43,16,0.17,0.1,0.1,0.09,0.18,0.03,0.11,0.15,0,0,0,0,0,0,0.07,17,518,57.55,0.15,3,4,0,9,5,55.56,13.46,0.02,0
9960000001013,8012,4,580.93,Yes,145.23,11,0.28,0.05,0,0,0,0.04,0.14,0,0,0.43,0,0,0,0,0.06,9,698,174.5,0.27,1,1,0,3,0,0,30.04,0.02,0
9960000001014,8002,3,349.45,Yes,116.48,16,0.5,0.03,0,0.21,0,0,0.09,0,0,0,0,0,0,0,0.17,17,646,215.33,0.28,0,3,0,6,1,16.67,31.5,0.16,0
9960000001015,8020,5,429.95,No,85.99,11,0,0.12,0,0,0.36,0.17,0,0.08,0,0,0,0,0,0,0.27,15,571,114.2,0,0,4,0,9,1,11.11,18.82,0.32,0
9960000001016,8046,5,350.24,Yes,70.04,11,0,0.04,0,0.18,0,0,0,0,0,0.6,0,0,0,0,0.18,8,218,43.6,0.19,1,3,0,2,0,0,40.07,0.2,0
9960000001017,8081,3,1028.43,Yes,342.81,11,0.07,0,0.04,0,0.43,0.04,0,0,0.23,0,0,0,0,0,0.19,6,175,58.33,0.03,1,1,0,2,1,50,26.92,0.19,0
9960000001018,8021,4,466.93,No,116.73,11,0.27,0.03,0,0.04,0.09,0.09,0,0.06,0.26,0,0,0,0,0,0.16,17,501,125.25,0.14,0,3,0,8,1,12.5,18.8,0.16,0
9960000001019,8002,5,865.45,Yes,173.09,16,0.1,0.008566,0.13,0.05,0.16,0.03,0.06,0.1,0,0.21,0.03,0.02,0.02,0,0.081434,16,605,121,0.32,3,2,0,7,2,28.57,12.33,0.03,0
9960000001020,8028,1,80.47,Yes,80.47,16,0.56,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0.01,15,655,655,0.3,0,1,0,6,0,0,50.84,0,1
9960000001021,8053,20,996.8,Yes,49.84,16,0.14,0.08,0.14,0.19,0.1,0,0.2,0,0,0.08,0,0.001948,0,0.01,0.058052,18,607,30.35,0.24,2,6,0,9,6,66.67,14.73,0.02,1
9960000001022,8055,7,1287.9,Yes,183.98,16,0.34,0.02,0.05,0.04,0.13,0.08,0.07,0.09,0,0,0,0.007709,0,0.02,0.152291,19,693,99,0.08,1,5,0,10,2,20,16.52,0.1,0
9960000001023,8096,4,116.62,Yes,29.15,11,0.17,0,0.03,0.27,0.03,0.14,0.03,0.08,0.07,0,0,0,0,0,0.18,20,627,156.75,0.13,0,1,0,9,1,11.11,19.56,0.17,0
9960000001024,8062,5,355.91,Yes,71.18,11,0.44,0.02,0,0,0.19,0,0.19,0.13,0,0,0,0,0,0,0.03,9,699,139.8,0.23,0,2,0,0,0,0,29.23,0,0
9960000001025,8055,2,324,No,162,11,0.27,0,0,0,0.36,0.19,0,0.16,0,0,0,0,0,0,0.02,18,354,177,0,0,2,0,6,0,0,27.32,0,0
9960000001026,8083,3,100.49,No,33.49,16,0.32,0,0,0.19,0.19,0,0,0.09,0.09,0,0,0,0.07,0,0.05,2,316,105.33,0.42,0,2,0,0,0,0,21.24,0,0
9960000001027,8054,6,706.96,Yes,117.82,11,0.05,0,0,0.07,0.09,0.11,0.04,0.14,0,0,0.12,0,0,0,0.38,7,640,106.66,0.18,1,2,0,0,0,0,7.93,0.52,0
9960000001028,8080,20,1121.91,Yes,56.09,11,0.22,0.02,0.08,0.05,0.08,0.04,0.01,0,0.01,0,0,0,0.05,0,0.44,22,688,34.4,0.22,7,4,0,10,5,50,7.57,0.63,1
9960000001029,8075,9,828.93,Yes,92.1,11,0.16,0.02,0.15,0.2,0.05,0.05,0.04,0.11,0.05,0.06,0,0,0,0,0.11,24,678,75.33,0.21,3,3,0,11,4,36.36,12.61,0.06,1
9960000001030,8057,11,675.67,No,61.42,11,0.19,0,0.08,0.02,0.04,0,0.39,0,0,0,0,0,0,0.01,0.27,18,653,59.36,0.13,0,2,0,9,2,22.22,20.23,0.32,0
9960000001031,8060,10,558.62,Yes,55.86,16,0.14,0.03,0,0.2,0,0.08,0.03,0.21,0.27,0,0,0,0,0,0.04,22,678,67.8,0.21,1,6,0,9,3,33.33,19.55,0,1
9960000001032,8080,8,536.13,Yes,67.01,16,0.64,0.03,0,0.01,0,0,0.12,0.18,0,0,0,0,0,0,0.02,13,695,86.87,0.28,0,5,0,5,0,0,46.25,0,0
9960000001033,8034,2,316,No,158,18,0,0,0.22,0,0.26,0.16,0,0,0,0,0,0,0,0,0.36,13,432,216,0,0,2,0,5,0,0,14.87,0.52,0
9960000001034,8097,4,716.88,Yes,179.22,16,0,0.18,0.34,0,0,0,0.17,0,0.09,0,0,0,0.02,0,0.2,4,118,29.5,0.17,2,3,0,1,1,100,19.2,0.21,1
9960000001035,8033,1,235,No,235,11,0,0,0,0.37,0.42,0,0,0.2,0,0,0,0,0,0,0.01,19,486,486,0,0,1,0,8,0,0,75.46,0,0
9960000001036,8021,2,391.99,Yes,195.99,16,0,0,0.04,0.12,0.25,0.15,0,0,0,0.33,0,0.06,0,0.03,0.02,15,356,178,0.09,0,3,0,6,0,0,28.28,0,0
9960000001037,8002,21,1159.8,Yes,55.22,11,0.16,0.09,0.07,0.07,0.06,0.02,0.09,0.04,0.06,0,0,0,0.18,0.02,0.14,23,635,30.23,0.45,0,3,0,10,7,70,10.14,0.08,0
9960000001038,8012,13,1696.42,Yes,130.49,18,0.03,0.007017,0.07,0.18,0.15,0,0,0.08,0.05,0,0.15,0.005401,0.16,0,0.117582,5,684,52.61,0.27,2,3,0,0,0,0,12.47,0.09,0
9960000001039,8081,12,2215.72,Yes,184.64,16,0.18,0.02,0.02,0.11,0.27,0.2,0.04,0.08,0,0,0,0.01,0,0,0.07,18,678,56.5,0.11,3,4,1,10,5,50,18.53,0.03,0
9960000001040,8028,8,1056.89,No,132.11,11,0.19,0.1,0.09,0.07,0.16,0.05,0.22,0,0,0,0,0.007096,0.03,0.04,0.042904,19,657,82.12,0.14,0,2,0,9,4,44.44,15.56,0,0
9960000001041,8094,7,971.76,Yes,138.82,18,0.18,0,0,0.17,0.07,0.13,0.2,0,0,0,0,0.01,0.02,0.009772,0.210228,13,672,96,0.11,2,3,0,7,3,42.86,13.13,0.21,0
9960000001042,8086,2,144,No,72,11,0.18,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0.27,6,263,131.5,0.05,0,1,0,1,0,0,34.79,0.34,0
9960000001043,8046,1,172,No,172,11,0.62,0,0,0.28,0,0,0,0,0,0,0,0.09,0,0,0.01,2,315,315,0,0,2,0,2,0,0,47.68,0,0
9960000001044,8056,1,78,No,78,11,0.37,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0.01,5,605,605,0,0,1,0,1,0,0,53.28,0,0
9960000001045,8012,1,15.5,No,15.5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,322,322,0.49,0,1,0,1,0,0,100,0,0
9960000001046,8046,7,805.31,Yes,115.04,11,0.25,0.12,0.07,0,0.01,0.08,0.04,0,0,0,0,0.03,0.23,0,0.17,25,661,94.42,0.3,2,4,0,7,1,14.29,15.21,0.15,1
9960000001047,8002,2,75,Yes,37.5,11,0,0.000095,0,0.27,0,0,0.43,0,0,0,0,0,0,0,0.299905,9,677,338.5,0.15,0,1,0,4,0,0,26.81,0.39,1
9960000001048,8090,9,1515.34,Yes,168.37,11,0.05,0.03,0.03,0.12,0.17,0.05,0.01,0.09,0.14,0.07,0.08,0.01,0.03,0.008284,0.111716,20,342,38,0.23,2,4,0,6,4,66.67,11.51,0.03,1
9960000001049,8021,1,100,No,100,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,222,222,0.49,0,1,0,2,0,0,100,0,0
9960000001050,8037,1,137,No,137,11,0.35,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.01,7,227,227,0.12,0,1,0,2,0,0,54.05,0,0
9960000001051,8080,3,216.63,Yes,72.21,11,0.31,0,0,0.25,0,0.43,0,0,0,0,0,0,0,0,0.01,22,349,116.33,0.17,0,2,0,6,0,0,35,0,0
9960000001052,8078,5,500.92,Yes,100.18,16,0.27,0.03,0.09,0,0.15,0.11,0.15,0.05,0.06,0,0,0.01,0,0.01,0.07,17,473,94.6,0.04,0,3,0,10,1,10,15.85,0,0
9960000001053,8057,1,98,No,98,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,319,319,0,0,1,0,3,0,0,100,0,0
9960000001054,8034,5,277.52,No,55.5,16,0,0.04,0.04,0.06,0.23,0.1,0,0.07,0.16,0.25,0,0.01,0,0,0.04,16,691,138.2,0.36,0,2,0,10,1,10,16.96,0,0
9960000001055,8079,16,1018.74,Yes,63.67,11,0.02,0.02,0.0078,0.01,0.07,0.008776,0.06,0.01,0.04,0.07,0.04,0,0.008397,0.009478,0.625549,21,676,42.25,0.28,6,7,0,8,4,50,1.93,1.51,0
9960000001056,8043,4,500.86,No,125.21,11,0.08,0,0,0.04,0.08,0.49,0.07,0,0,0,0,0,0.02,0.18,0.04,12,677,169.25,0.19,0,4,0,8,2,25,34.64,0,0
9960000001057,8003,3,346.66,No,115.55,11,0.19,0.03,0,0.08,0.24,0,0,0.27,0.14,0,0,0,0.02,0,0.03,9,351,117,0.26,0,3,0,2,0,0,20.2,0,0
9960000001058,8034,5,1034.06,Yes,206.81,11,0.05,0.07,0,0.15,0.25,0.11,0.03,0.05,0,0.16,0,0,0.08,0,0.05,6,363,72.6,0.18,0,2,0,1,0,0,24.35,0,0
9960000001059,8060,10,1463.83,Yes,146.38,16,0.18,0.00939,0.02,0.04,0.17,0.15,0.02,0.07,0,0.12,0,0,0.02,0,0.20061,16,463,46.3,0.23,4,2,0,10,5,50,11.68,0.17,1
9960000001060,8055,2,474.05,Yes,237.02,11,0,0,0,0.07,0.5,0.03,0,0.2,0.05,0.11,0,0,0,0,0.04,10,230,115,0.2,1,2,0,2,1,50,36.84,0,0
9960000001061,8007,4,547.49,No,136.87,11,0.05,0,0.49,0.21,0,0,0.07,0.08,0,0,0,0,0,0.07,0.03,16,581,145.25,0.07,0,1,0,4,0,0,31.33,0,0
9960000001062,8062,6,295.74,No,49.29,11,0.44,0,0.04,0.07,0,0,0,0,0.11,0,0,0.03,0,0,0.31,7,173,28.83,0.15,1,1,0,2,0,0,21.97,0.39,0
9960000001063,8090,2,288.74,Yes,144.37,11,0,0.14,0,0,0.59,0.15,0.1,0,0,0,0,0,0,0,0.02,2,95,47.5,0.29,1,2,0,0,0,0,41.32,0,0
9960000001064,8034,11,808.79,Yes,73.52,16,0.13,0.003942,0.17,0,0.22,0,0.12,0.06,0.05,0.1,0,0,0,0,0.146058,13,488,44.36,0.2,1,4,0,5,4,80,13.33,0.12,1
9960000001065,8053,17,694.39,Yes,40.84,16,0.33,0.03,0,0.02,0.08,0.02,0,0.03,0,0,0,0,0,0.04,0.45,24,683,40.17,0.34,2,6,0,9,4,44.44,12.61,0.7,0
9960000001066,8080,2,626.57,Yes,313.28,11,0,0,0,0.12,0.34,0.16,0.04,0.07,0.15,0,0,0,0.05,0.02,0.05,4,167,83.5,0.07,0,3,0,1,0,0,40.76,0,0
9960000001067,8055,3,592.99,No,197.66,18,0.26,0.01,0,0.2,0.21,0.13,0,0.13,0.03,0,0,0,0,0,0.03,10,355,118.33,0.13,0,3,0,4,0,0,19.48,0,0
9960000001068,8088,1,235.18,No,235.18,11,0.05,0,0.01,0,0.42,0.5,0,0,0,0,0,0,0,0,0.02,1,89,89,0.03,0,2,0,0,0,0,128.41,0,0
9960000001069,8060,1,302.38,Yes,302.38,16,0.05,0,0.23,0.22,0,0,0.41,0,0.07,0,0,0,0,0,0.02,4,83,83,0.23,1,2,0,2,0,0,28.11,0,0
9960000001070,8054,14,822.33,Yes,58.73,16,0.44,0.02,0.01,0,0.09,0.05,0.28,0.01,0,0,0,0,0,0.03,0.07,17,624,44.57,0.3,4,3,0,10,9,90,29.38,0.07,0
9960000001071,8054,24,3316.41,Yes,138.18,11,0.21,0.02,0.009317,0.05,0.25,0.11,0.12,0.06,0.09,0.03,0,0.003799,0.01,0,0.036884,16,581,24.2,0.37,4,8,0,9,4,44.44,17.99,0,1
9960000001072,8077,13,82.43,Yes,6.34,16,0.05,0.05,0,0,0.18,0,0,0,0,0,0,0.007572,0,0.01,0.702428,13,693,53.3,0.14,1,3,0,7,3,42.86,4.41,3,0
9960000001073,8034,1,616.9,No,616.9,11,0.05,0,0,0.06,0.5,0.3,0.06,0,0,0,0,0,0,0,0.03,16,452,452,0.17,0,2,0,8,0,0,62.02,0,1
9960000001074,8002,7,234.07,Yes,33.43,16,0.12,0,0,0.09,0,0.13,0,0,0.17,0,0,0,0,0,0.49,4,300,42.85,0.15,1,3,0,1,0,0,7.58,0.85,1
9960000001075,8055,2,262,No,131,18,0,0,0.55,0.22,0,0,0.22,0,0,0,0,0,0,0,0.01,6,254,127,0,0,2,0,2,0,0,40.85,0,0
9960000001076,8012,5,140.98,No,28.19,11,0.24,0.2,0.11,0,0,0,0,0,0,0,0,0,0,0,0.45,15,470,94,0.03,0,2,0,7,2,28.57,11.64,0.75,1
9960000001077,8060,1,122,No,122,16,0,0,0,0.31,0,0,0,0.48,0,0,0,0.19,0,0,0.02,9,342,342,0,0,2,0,4,0,0,37.47,0,0
9960000001078,8010,4,491.72,Yes,122.93,11,0.26,0.03,0,0.07,0.08,0.21,0.08,0.06,0,0,0,0,0.02,0.01,0.18,7,426,106.5,0.14,0,2,0,1,0,0,14.7,0.12,0
9960000001079,8043,6,655.67,Yes,109.27,11,0.19,0,0,0.06,0.3,0.15,0.12,0,0,0,0,0,0,0,0.18,11,462,77,0.15,2,1,0,3,2,66.67,17.65,0.17,0
9960000001080,8055,8,1028.36,Yes,128.54,11,0.12,0.01,0.07,0.04,0.18,0,0,0.04,0.1,0.15,0,0,0.03,0.13,0.13,19,425,53.12,0.3,3,3,0,6,4,66.67,11.87,0.07,1
9960000001081,8060,5,1514.45,Yes,302.89,11,0.21,0,0.04,0.06,0.28,0.17,0.03,0.03,0,0.15,0,0,0,0,0.03,23,361,72.2,0.09,0,2,0,7,3,42.86,19.2,0,0
9960000001082,8096,3,101.81,Yes,33.93,11,0.36,0.2,0.15,0,0,0,0,0,0.27,0,0,0,0,0,0.02,7,269,89.66,0.28,0,2,0,0,0,0,27.33,0,1
9960000001083,8021,4,520.98,Yes,130.24,11,0.07,0,0,0.26,0.19,0,0,0.19,0,0.24,0,0,0.02,0,0.03,19,564,141,0.1,0,3,0,10,2,20,29.24,0,0
9960000001084,8055,4,297,Yes,74.25,11,0.2,0.05,0,0,0.23,0,0.08,0.1,0,0,0,0,0,0.03,0.31,28,645,161.25,0.17,1,1,0,10,1,10,11.59,0.41,0
9960000001085,8035,12,753.09,Yes,62.75,16,0.07,0.03,0.07,0.09,0.08,0,0.11,0.04,0,0,0,0,0.05,0.01,0.45,16,702,58.5,0.11,2,4,0,10,3,30,4.8,0.67,0
9960000001086,8052,6,669.85,No,111.64,11,0.18,0.1,0,0.13,0.11,0.07,0.13,0.18,0.05,0,0,0.01,0,0,0.04,22,538,89.66,0.17,1,2,0,10,2,20,13.72,0,0
9960000001087,8080,2,110.99,Yes,55.49,11,0.66,0,0,0,0.22,0,0,0,0,0,0,0.1,0,0,0.02,15,327,163.5,0.28,0,3,0,8,2,25,50.68,0,0
9960000001088,8057,2,277.96,Yes,138.98,11,0,0,0,0,0.17,0.14,0,0,0.12,0.46,0,0.04,0.04,0,0.03,21,525,262.5,0.29,0,2,0,10,1,10,28.97,0,0
9960000001089,8109,16,688.63,Yes,43.03,16,0.09,0.04,0,0.03,0,0,0.16,0.13,0.21,0.18,0,0,0.00967,0,0.15033,16,670,41.87,0.33,3,2,0,10,5,50,13.87,0.12,0
9960000001090,8108,11,1308.56,Yes,118.96,11,0.24,0.07,0.2,0.09,0,0.02,0.13,0.04,0.05,0,0,0,0,0,0.16,21,677,61.54,0.29,4,3,0,11,4,36.36,14.48,0.11,1
9960000001091,8110,3,195.5,Yes,65.16,18,0.11,0,0.29,0.11,0,0.14,0,0,0.2,0,0,0,0.13,0,0.02,8,601,200.33,0.33,1,2,0,2,0,0,19.25,0,0
9960000001092,8109,1,77.98,No,77.98,16,0.23,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0.01,0,241,241,0.4,0,2,0,0,0,0,64.5,0,1
9960000001093,8108,28,2014.33,Yes,71.94,11,0.34,0.03,0.09,0.07,0.09,0.04,0.01,0.07,0.03,0.01,0.02,0.03,0.02,0.005847,0.144153,13,545,19.46,0.39,3,4,0,4,3,75,15.74,0.08,1
9960000001094,8106,4,326.98,Yes,81.74,16,0.19,0.11,0,0,0.15,0,0.05,0,0.08,0.39,0,0,0,0,0.03,14,558,139.5,0.45,1,3,0,10,2,20,24.22,0,0
9960000001095,8106,1,73.47,No,73.47,11,0.33,0,0.19,0,0,0.47,0,0,0,0,0,0,0,0,0.01,11,293,293,0.3,0,1,0,9,0,0,37.41,0,0
9960000001096,8108,17,3336.19,Yes,196.24,11,0.16,0.02,0.03,0.1,0.28,0.13,0.05,0.07,0,0,0.05,0.004458,0.05,0,0.055542,25,687,40.41,0.13,9,3,0,8,6,75,15.42,0.009889,0
9960000001097,8109,2,222.92,Yes,111.46,11,0.32,0,0.31,0.08,0,0,0,0,0.26,0,0,0,0,0,0.03,18,558,279,0.04,0,2,0,8,2,25,28.61,0,0
9960000001098,8109,58,2826.35,Yes,48.73,16,0.2,0.03,0.07,0.07,0.04,0.06,0.08,0.02,0.12,0,0.008118,0.04,0.14,0.01,0.111882,21,636,10.96,0.48,4,3,0,10,9,90,10.84,0.04,1
9960000001099,8110,2,59.99,No,29.99,11,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.01,2,357,178.5,0.21,0,2,0,0,0,0,55.56,0,0
9960000001100,8215,8,589.93,No,73.74,16,0.36,0,0.14,0.03,0.09,0,0.08,0.07,0.01,0,0,0,0.08,0,0.14,16,631,78.87,0.33,0,3,0,10,3,30,18.28,0.11,1
9960000001101,8234,13,1062.75,Yes,81.75,11,0.18,0,0.03,0.01,0.08,0.11,0.05,0,0,0,0.1,0.03,0.13,0.03,0.25,21,637,49,0.42,0,3,0,10,6,60,9.24,0.24,1
9960000001102,8243,9,821.11,No,91.23,16,0.39,0,0,0.01,0.22,0.02,0,0.02,0.06,0,0.2,0,0.03,0,0.05,15,697,77.44,0.28,0,2,0,10,3,30,25.96,0,0
9960000001103,8332,1,259.98,No,259.98,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,362,362,0.17,0,1,0,6,0,0,100,0,0
9960000001104,8360,4,218.98,Yes,54.74,16,0,0,0,0.05,0.53,0,0,0.25,0,0,0,0,0,0,0.17,7,698,174.5,0.18,0,2,0,2,1,50,35.43,0.18,0
9960000001105,8353,3,336.48,Yes,112.16,11,0.04,0,0,0,0.46,0.17,0,0.14,0,0,0,0,0.17,0,0.02,20,398,132.66,0.24,0,1,0,6,0,0,67.51,0,0
9960000001106,8361,8,1300.26,Yes,162.53,16,0.26,0.09,0.08,0.07,0.1,0,0.21,0.02,0,0,0,0.009214,0.06,0.05,0.050786,20,689,86.12,0.34,9,3,0,10,5,50,15.99,0,0
9960000001107,8330,1,73.99,Yes,73.99,11,0,0.2,0.66,0,0,0,0,0,0,0,0,0.13,0,0,0.01,6,662,662,0,0,1,0,3,0,0,49.78,0,0
9960000001108,8318,2,169.92,Yes,84.96,16,0.41,0.05,0,0,0.21,0.17,0.14,0,0,0,0,0,0,0,0.02,16,241,120.5,0.39,0,2,0,9,0,0,27.31,0,0
9960000001109,8225,2,123.98,No,61.99,11,0,0,0.24,0.24,0,0.51,0,0,0,0,0,0,0,0,0.01,3,332,166,0,0,1,0,0,0,0,38.35,0,0
9960000001110,8244,6,960.16,Yes,160.02,11,0.26,0.04,0.01,0.03,0.2,0.05,0.02,0.31,0,0,0,0,0,0.03,0.05,27,428,71.33,0.24,5,2,0,10,2,20,26.51,0,0
9960000001111,8550,3,203.46,No,67.82,16,0.46,0,0,0.11,0,0.18,0.24,0,0,0,0,0,0,0,0.01,3,308,102.66,0.19,1,2,0,1,0,0,31.87,0,0
9960000001112,8510,2,388.09,Yes,194.04,16,0.32,0,0,0.04,0.5,0,0.05,0,0.06,0,0,0,0,0,0.03,16,427,213.5,0.09,0,2,0,5,1,20,37.31,0,0
9960000001113,8505,2,78,Yes,39,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,286,143,0.33,0,1,0,1,0,0,100,0,0
9960000001114,8510,19,1283.85,Yes,67.57,16,0.08,0.02,0,0.09,0.11,0.04,0.1,0.03,0.007653,0,0,0,0.03,0.01,0.482347,24,653,34.36,0.19,4,9,1,9,6,66.67,4.58,0.76,1
9960000001115,8527,1,86.49,No,86.49,11,0.59,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.01,1,245,245,0.43,0,1,0,1,0,0,51.82,0,0
9960000001116,8562,6,1724.98,Yes,287.49,16,0.15,0.05,0,0.07,0.15,0.06,0.02,0.12,0.12,0,0.1,0,0.01,0,0.15,15,626,104.33,0.09,1,2,0,8,5,62.5,10.27,0.11,0
9960000001117,8536,2,152,No,76,16,0.32,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0.01,15,543,271.5,0.22,0,2,0,10,2,20,56.31,0,0
9960000001118,8527,1,124.96,Yes,124.96,16,0.23,0,0,0.56,0.19,0,0,0,0,0,0,0,0,0,0.02,7,340,340,0.06,0,2,0,3,0,0,41.12,0,0
9960000001119,57186,11,702.69,Yes,63.88,16,0.2,0,0.03,0,0.17,0.11,0.11,0.04,0,0,0,0,0.01,0,0.33,21,595,54.09,0.13,0,4,0,10,2,20,10.96,0.4,0
9960000001120,8520,1,132.49,No,132.49,11,0.32,0,0,0.22,0,0.44,0,0,0,0,0,0,0,0,0.02,13,290,290,0.2,0,1,0,5,0,0,55.56,0,0
9960000001121,8628,5,590.92,Yes,118.18,16,0,0,0.02,0.17,0.31,0.07,0,0.14,0.05,0,0,0,0,0,0.24,4,94,18.8,0.19,2,5,0,1,0,0,25.3,0.27,1
9960000001122,8518,1,97.62,Yes,97.62,11,0.45,0,0,0,0,0,0,0,0,0,0,0.08,0.46,0,0.01,6,293,293,0.48,0,2,0,0,0,0,42.68,0,0
9960000001123,8610,1,122.45,No,122.45,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,269,269,0.35,0,2,0,1,0,0,100,0,0
9960000001124,8690,7,1070.94,Yes,152.99,16,0.24,0.04,0.19,0.07,0.11,0.06,0.06,0.2,0,0,0,0,0,0,0.03,17,690,98.57,0.05,2,3,0,9,4,44.44,16.48,0,1
9960000001125,8691,1,68.98,No,68.98,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,338,0.2,0,1,0,0,0,0,100,0,0
9960000001126,8736,1,221,No,221,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,146,146,0,0,2,0,0,0,0,100,0,0
9960000001127,8735,4,254.39,Yes,63.59,11,0.27,0,0.03,0,0,0,0,0,0,0,0,0.03,0.43,0,0.24,19,645,161.25,0.24,0,4,0,9,2,22.22,26.82,0.27,0
9960000001128,8722,1,99.99,No,99.99,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,318,318,0,0,1,0,2,0,0,100,0,0
9960000001129,8731,1,141.3,Yes,141.3,11,0.31,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0.01,15,354,354,0.1,0,1,0,6,0,0,104.38,0,0
9960000001130,8701,22,241.98,No,10.99,11,0.04,0,0,0.04,0,0,0,0.05,0,0,0,0,0.03,0.008988,0.831012,11,695,31.59,0.19,0,2,0,7,0,0,1.61,8.65,0
9960000001131,8807,1,158.62,Yes,158.62,11,0.12,0.08,0.16,0,0,0,0.62,0,0,0,0,0,0,0,0.02,6,172,172,0.32,1,1,0,1,0,0,44.17,0,0
9960000001132,8817,4,243.9,No,60.97,11,0.21,0,0,0.2,0.31,0,0,0.06,0.19,0,0,0,0,0,0.03,17,445,111.25,0.29,0,3,0,4,0,0,23.38,0,0
9960000001133,8886,3,324.99,Yes,108.33,11,0.06,0,0,0.19,0.22,0.26,0,0,0,0,0,0,0,0,0.27,20,551,183.66,0.02,0,2,0,9,1,11.11,18.31,0.36,0
9960000001134,8854,1,49,No,49,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,374,374,0.27,0,1,0,4,0,0,100,0,0
9960000001135,8872,3,378.93,Yes,126.31,16,0,0.05,0.6,0.07,0,0,0,0,0.25,0,0,0,0,0,0.03,18,614,204.66,0,0,3,0,8,2,25,44.73,0,0
9960000001136,8854,2,35,No,17.5,11,0,0,0,0,0.57,0.42,0,0,0,0,0,0,0,0,0.01,2,187,93.5,0.49,0,1,0,0,0,0,83.67,0,0
9960000001137,8857,1,145.8,Yes,145.8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,213,213,0.37,1,2,0,2,0,0,100,0,0
9960000001138,8840,3,405.97,No,135.32,11,0.19,0.07,0,0,0.26,0,0.16,0.2,0,0,0,0,0.06,0.03,0.03,9,281,93.66,0.02,0,2,0,2,1,50,18.71,0,0
9960000001139,8810,3,170.73,No,56.91,11,0.28,0,0,0,0.17,0,0.21,0.23,0,0,0,0,0,0.08,0.03,5,579,193,0.16,0,1,0,1,0,0,22.21,0,0
9960000001140,8831,1,258.28,Yes,258.28,11,0,0,0,0,0.66,0.23,0,0.09,0,0,0,0,0,0,0.02,12,256,256,0.2,1,1,0,4,0,0,50.85,0,0
9960000001141,8857,1,80.75,Yes,80.75,11,0.26,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0.01,20,552,552,0.08,0,1,0,9,0,0,114.02,0,0
9960000001142,8824,12,1438.32,Yes,119.86,18,0.12,0.12,0.01,0.09,0.13,0.13,0.09,0.04,0,0,0,0.004417,0,0.007454,0.258129,14,568,47.33,0.22,5,2,0,5,4,80,9.4,0.25,1
9960000001143,8830,7,598.99,No,85.57,11,0,0,0.11,0.35,0,0.09,0,0.17,0,0.2,0,0,0,0,0.08,15,586,83.71,0.09,0,2,0,9,3,33.33,24.57,0.06,0
9960000001144,8831,1,68,No,68,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,307,307,0,0,1,0,0,0,0,100,0,0
9960000001145,8827,1,83,No,83,11,0,0.22,0,0.53,0,0,0.24,0,0,0,0,0,0,0,0.01,20,536,536,0.29,0,1,0,10,1,10,39.57,0,0
9960000001146,8809,1,172.98,No,172.98,11,0.57,0.14,0,0,0,0,0.28,0,0,0,0,0,0,0,0.01,7,131,131,0.16,0,1,0,1,0,0,42.85,0,0
9960000001147,8817,3,307,No,102.33,11,0.39,0,0.47,0.12,0,0,0,0,0,0,0,0,0,0,0.02,13,503,167.66,0.05,0,4,0,8,2,25,40.02,0,0
